PID,PowerCap,Time,Power (W),Temperature (C),Energy (J),GPU Utilization (%),Memory Utilization (%),Frequency,PCIe TX (KB/s),PCIe RX (KB/s)
0,30000,1740637507.7252324,36.858,63,0.03791400000000067,100.0,1.0,210,36.62109375,138.671875
0,30000,1740637508.783889,40.322,63,0.07821599999988393,100.0,3.0,210,43.26171875,98.291015625
0,30000,1740637509.8493533,41.88,63,0.12404999999989741,100.0,4.0,210,42.529296875,138.4765625
0,30000,1740637510.910282,41.875,63,0.16973400000006222,100.0,4.0,210,34.66796875,138.76953125
0,30000,1740637511.9758098,41.854,63,0.21124600000007376,100.0,4.0,210,42.28515625,138.916015625
0,30000,1740637513.0562294,41.781,63,0.25652500000001055,100.0,4.0,210,49.267578125,137.01171875
0,30000,1740637514.1237912,39.273,63,0.29900900000006914,100.0,4.0,210,41.015625,138.818359375
0,30000,1740637515.190253,41.634,63,0.340347999999949,100.0,4.0,210,43.75,138.8671875
0,30000,1740637516.2587774,41.346,62,0.3847089999999298,100.0,4.0,210,43.359375,138.623046875
0,30000,1740637517.316499,40.746,62,0.42937899999992624,100.0,4.0,210,41.748046875,94.82421875
0,30000,1740637518.3815289,41.527,62,0.4702990000000682,100.0,4.0,210,40.13671875,138.96484375
0,30000,1740637519.4427314,41.575,62,0.5158209999999599,100.0,4.0,210,35.107421875,139.453125
0,30000,1740637520.5062773,41.575,62,0.5612559999999576,100.0,4.0,210,38.96484375,139.013671875
0,30000,1740637521.5724523,41.55,62,0.6025070000000596,100.0,4.0,210,43.505859375,138.720703125
0,30000,1740637522.6388736,41.443,62,0.6474289999998746,100.0,4.0,210,37.98828125,138.8671875
0,30000,1740637523.7047615,41.487,62,0.6928689999999733,100.0,4.0,210,42.87109375,138.916015625
0,30000,1740637524.7690785,41.595,62,0.7341959999998835,100.0,4.0,210,41.89453125,126.220703125
0,30000,1740637525.8343725,41.581,62,0.7794019999998909,100.0,4.0,210,40.380859375,142.724609375
0,30000,1740637526.8969822,41.472,62,0.8201810000000478,100.0,4.0,210,37.5,138.916015625
0,30000,1740637527.9599996,41.423,62,0.8615139999999428,100.0,4.0,210,36.62109375,139.306640625
0,30000,1740637529.0389,39.887,62,0.9047379999999521,100.0,3.0,210,51.318359375,142.578125
0,30000,1740637530.100854,37.827,62,0.9464040000000296,100.0,4.0,210,35.693359375,171.923828125
0,30000,1740637531.1593256,39.204,62,0.9852619999999206,100.0,3.0,210,39.013671875,108.203125
0,30000,1740637532.23089,40.672,61,1.0295539999999619,100.0,4.0,210,52.734375,137.548828125
0,30000,1740637533.3026032,40.077,62,1.0732089999999062,100.0,4.0,210,46.58203125,146.337890625
0,30000,1740637534.36658,41.397,62,1.1144399999998313,100.0,4.0,210,38.818359375,146.09375
0,30000,1740637535.434015,39.02,61,1.156677999999829,100.0,3.0,210,39.35546875,143.994140625
0,30000,1740637536.5028632,41.13,61,1.2018490000000384,100.0,4.0,210,46.09375,138.623046875
0,30000,1740637537.5709336,39.806,61,1.2411549999999352,100.0,2.0,210,45.947265625,139.2578125
0,30000,1740637538.642136,36.584,61,1.2807929999999033,100.0,0.0,210,43.310546875,138.37890625
0,30000,1740637539.7105508,34.964,61,1.3188749999999345,100.0,0.0,210,46.2890625,138.427734375
0,30000,1740637540.7792246,34.887,61,1.3532729999999447,100.0,0.0,210,45.8984375,138.4765625
0,30000,1740637541.8454065,34.861,61,1.3913029999998798,100.0,0.0,210,46.728515625,136.5234375
0,30000,1740637542.9133782,34.845,61,1.429290999999921,100.0,0.0,210,40.283203125,140.380859375
0,30000,1740637543.9816165,40.331,61,1.469724000000042,100.0,3.0,210,46.044921875,138.18359375
0,30000,1740637545.0567322,35.106,61,1.5076109999999971,100.0,0.0,210,56.787109375,135.64453125
0,30000,1740637546.1215487,34.772,60,1.545502999999826,100.0,0.0,210,40.52734375,139.208984375
0,30000,1740637547.1907597,34.75,60,1.5832479999999123,100.0,0.0,210,46.240234375,139.0625
0,30000,1740637548.2667947,34.9,60,1.6180919999999333,100.0,2.0,210,60.009765625,138.916015625
0,30000,1740637549.340541,39.864,61,1.6616649999998572,100.0,4.0,210,54.39453125,138.720703125
0,30000,1740637550.4076803,41.158,60,1.7061559999999645,100.0,4.0,210,43.65234375,136.474609375
0,30000,1740637551.4847739,40.38,60,1.7464259999999285,100.0,12.0,210,73.14453125,143.26171875
0,30000,1740637552.5423574,45.659,60,1.796053000000029,100.0,19.0,210,35.693359375,99.462890625
0,30000,1740637553.5982573,46.403,60,1.8468960000000152,100.0,17.0,210,37.060546875,100.341796875
0,30000,1740637554.6517363,46.581,60,1.893043999999918,100.0,19.0,210,38.8671875,96.58203125
0,30000,1740637555.7166796,46.38,60,1.9441789999998491,100.0,19.0,210,36.181640625,134.130859375
0,30000,1740637556.7852378,44.975,60,1.9882869999999002,100.0,14.000000000000002,210,44.091796875,134.86328125
0,30000,1740637557.8574686,46.323,60,2.0381760000000213,100.0,26.0,210,47.55859375,136.279296875
0,30000,1740637558.9342933,45.043,60,2.086554999999862,100.0,17.0,210,66.552734375,148.681640625
0,30000,1740637559.9901276,45.522,60,2.136876999999913,100.0,18.0,210,36.5234375,104.00390625
0,30000,1740637561.051529,46.779,60,2.1827719999998862,100.0,30.0,210,32.71484375,143.408203125
0,30000,1740637562.1173136,46.587,60,2.232762999999977,100.0,27.0,210,40.185546875,133.3984375
0,30000,1740637563.1862783,45.76,60,2.2782629999999244,100.0,28.999999999999996,210,41.162109375,133.935546875
0,30000,1740637564.247424,44.699,60,2.3233219999997345,100.0,17.0,210,35.15625,136.962890625
0,30000,1740637565.3107326,44.692,60,2.372171999999864,100.0,26.0,210,35.83984375,137.255859375
0,30000,1740637566.3847773,44.69,60,2.4207369999999173,100.0,27.0,210,52.099609375,144.43359375
0,30000,1740637567.4586163,44.877,60,2.4659929999997985,100.0,18.0,210,54.8828125,138.818359375
0,30000,1740637568.5255635,44.613,60,2.514403999999786,100.0,28.000000000000004,210,42.48046875,133.447265625
0,30000,1740637569.5850003,44.686,60,2.5591219999998884,100.0,27.0,210,49.658203125,141.357421875
0,30000,1740637570.648076,44.47,60,2.603922999999895,100.0,27.0,210,39.208984375,138.18359375
0,30000,1740637571.7167776,45.154,60,2.652649999999994,100.0,28.999999999999996,210,41.748046875,145.01953125
0,30000,1740637572.7842593,44.538,60,2.696815000000015,100.0,21.0,210,35.888671875,133.984375
0,30000,1740637573.8427463,44.572,60,2.7415820000001077,100.0,30.0,210,31.54296875,135.986328125
0,30000,1740637574.9171996,45.741,60,2.7908899999999903,100.0,26.0,210,51.3671875,139.599609375
0,30000,1740637575.9906833,45.296,60,2.8395849999999427,100.0,26.0,210,52.34375,151.611328125
0,30000,1740637577.0544105,44.917,60,2.884322999999995,100.0,28.000000000000004,210,37.109375,135.888671875
0,30000,1740637578.1190643,41.507,60,2.9285620000000563,100.0,3.0,210,42.578125,139.453125
0,30000,1740637579.1863098,40.246,60,2.972639000000072,100.0,1.0,210,43.017578125,139.6484375
0,30000,1740637580.2517686,40.347,60,3.0126560000001064,100.0,3.0,210,42.28515625,142.919921875
0,30000,1740637581.3202167,35.755,60,3.051148000000012,100.0,0.0,210,45.60546875,142.529296875
0,30000,1740637582.390391,40.185,60,3.0956149999999525,100.0,3.0,210,47.0703125,144.775390625
0,30000,1740637583.457792,40.845,60,3.136081000000104,100.0,3.0,210,45.947265625,144.7265625
0,30000,1740637584.5263934,40.797,60,3.1807350000001406,100.0,3.0,210,49.609375,138.76953125
0,30000,1740637585.5944116,40.845,60,3.2251440000000002,100.0,3.0,210,49.951171875,138.76953125
0,30000,1740637586.6630762,40.825,60,3.2658120000000963,100.0,3.0,210,45.60546875,137.841796875
0,30000,1740637587.7314231,40.779,60,3.3102470000001176,100.0,3.0,210,46.38671875,139.013671875
0,30000,1740637588.7998905,40.79,60,3.354428999999982,100.0,3.0,210,42.822265625,137.109375
0,30000,1740637589.8683097,40.782,60,3.3949130000000878,100.0,3.0,210,46.6796875,138.232421875
0,30000,1740637590.9373527,40.794,60,3.439256999999998,100.0,3.0,210,45.99609375,138.96484375
0,30000,1740637592.0054283,40.792,60,3.4837629999999535,100.0,3.0,210,45.99609375,139.2578125
0,30000,1740637593.0684836,40.535,60,3.523772000000008,100.0,3.0,210,37.5,137.744140625
0,30000,1740637594.1324747,40.118,60,3.5672950000000583,100.0,3.0,210,33.69140625,139.111328125
0,30000,1740637595.2011287,39.415,60,3.610401000000138,100.0,1.0,210,43.994140625,138.96484375
0,30000,1740637596.2714152,40.509,60,3.650524000000132,100.0,3.0,210,45.8984375,139.208984375
0,30000,1740637597.337883,40.678,60,3.694590000000062,100.0,3.0,210,44.384765625,138.720703125
0,30000,1740637598.4061627,40.608,60,3.7389110000001438,100.0,3.0,210,45.60546875,139.208984375
0,30000,1740637599.4763405,40.646,60,3.782963000000109,100.0,3.0,210,40.869140625,138.37890625
0,30000,1740637600.5434372,40.69,60,3.823558000000048,100.0,3.0,210,47.65625,139.111328125
0,30000,1740637601.6122348,40.666,60,3.8677460000001247,100.0,3.0,210,46.533203125,138.76953125
0,30000,1740637602.680221,40.666,60,3.912262999999939,100.0,3.0,210,46.09375,139.0625
0,30000,1740637603.7492137,40.608,60,3.952543999999989,100.0,3.0,210,48.6328125,139.013671875
0,30000,1740637604.818023,40.719,60,3.997150000000147,100.0,3.0,210,43.65234375,139.306640625
0,30000,1740637605.885728,40.782,60,4.041574999999966,100.0,3.0,210,46.044921875,136.865234375
0,30000,1740637606.954003,40.801,60,4.081813000000011,100.0,3.0,210,43.701171875,138.96484375
0,30000,1740637608.0215511,40.788,60,4.126373000000058,100.0,3.0,210,45.80078125,137.40234375
0,30000,1740637609.0843766,40.661,60,4.170491000000084,100.0,3.0,210,34.619140625,136.181640625
0,30000,1740637610.1514747,40.507,60,4.210522000000083,100.0,3.0,210,36.1328125,139.35546875
0,30000,1740637611.2165275,40.061,60,4.254384999999957,100.0,2.0,210,45.361328125,138.671875
0,30000,1740637612.2846947,40.454,60,4.298471000000063,100.0,3.0,210,46.19140625,139.16015625
0,30000,1740637613.353368,40.663,60,4.338412000000062,100.0,3.0,210,42.138671875,139.16015625
0,30000,1740637614.4244273,40.649,60,4.382782000000134,100.0,3.0,210,47.4609375,138.96484375
0,30000,1740637615.4906323,40.697,60,4.426848000000064,100.0,3.0,210,42.7734375,139.208984375
0,30000,1740637616.559705,40.612,60,4.467137000000093,100.0,3.0,210,47.55859375,139.013671875
0,30000,1740637617.6285198,40.582,60,4.511298000000124,100.0,3.0,210,45.849609375,137.744140625
