PowerCap,Time,Power (W),Temperature (C),Energy (J),GPU Utilization (%),Memory Utilization (%),Frequency,PCIe TX (KB/s),PCIe RX (KB/s)
115000,1741715579.215364,84.418,69,0.14414099999999053,72.0,38.0,2355,9220.068359375,26.46484375
115000,1741715581.3245924,82.327,73,0.3196340000001783,49.0,27.0,2205,54.638671875,147.0703125
115000,1741715583.3865907,84.736,70,0.4849020000001474,88.0,35.0,2355,774.90234375,3228.759765625
115000,1741715585.4604206,85.888,69,0.6549240000001646,72.0,34.0,2355,7271.435546875,140.8203125
115000,1741715587.5284514,81.81,73,0.8331960000002709,49.0,27.0,2205,56.884765625,156.640625
115000,1741715589.6527658,83.456,70,0.9967050000002473,79.0,31.0,2355,118.310546875,17.48046875
115000,1741715591.7506175,82.668,73,1.1801820000002863,59.0,33.0,2190,55.615234375,155.908203125
115000,1741715593.840125,84.1,71,1.3529260000002523,85.0,33.0,2355,3562.98828125,26.26953125
115000,1741715595.9186711,81.808,74,1.517193000000134,65.0,36.0,2145,60.205078125,152.34375
115000,1741715597.9993339,85.018,72,1.695868000000246,94.0,37.0,2355,1114.94140625,3866.748046875
115000,1741715600.0629225,84.604,71,1.8631360000001678,72.0,35.0,1980,1113.818359375,156.0546875
115000,1741715602.1370301,82.063,75,2.0432740000003378,47.0,27.0,2205,53.662109375,1014.599609375
115000,1741715604.203274,83.962,72,2.206400000000258,77.0,30.0,2355,32.2265625,21.728515625
115000,1741715606.273659,84.93,75,2.3793640000003506,59.0,32.0,2100,52.5390625,154.833984375
115000,1741715608.3401074,82.315,76,2.5554620000002615,49.0,27.0,2355,919.775390625,9414.697265625
115000,1741715610.4054976,86.149,71,2.723037000000204,66.0,36.0,2355,7379.19921875,107.177734375
115000,1741715612.4768717,81.365,75,2.8981970000002093,41.0,24.0,2175,58.251953125,152.978515625
115000,1741715614.545571,84.912,72,3.071246000000201,68.0,35.0,2355,430.224609375,116.796875
115000,1741715616.6059463,83.114,74,3.2356290000002446,50.0,28.000000000000004,1980,46.19140625,135.400390625
115000,1741715618.6675742,82.247,76,3.412231000000247,49.0,27.0,2190,39.35546875,156.689453125
115000,1741715620.7276452,85.5,73,3.586488000000145,69.0,30.0,2355,274.609375,102.685546875
115000,1741715622.797537,81.964,73,3.7506370000003244,47.0,26.0,1995,53.61328125,163.76953125
115000,1741715624.87112,82.62,76,3.929209000000128,57.99999999999999,31.0,2295,56.787109375,6524.462890625
115000,1741715626.935787,77.695,76,4.097580000000335,61.0,20.0,2355,1482.373046875,24.560546875
115000,1741715629.0122707,80.702,74,4.261839000000236,66.0,22.0,2355,11527.099609375,35.302734375
115000,1741715631.0865014,79.074,72,4.421227000000272,54.0,17.0,1995,5027.63671875,124.12109375
115000,1741715633.1602774,81.536,75,4.586013000000321,49.0,14.000000000000002,2205,55.6640625,92.529296875
115000,1741715635.2208028,77.481,75,4.752885000000333,55.00000000000001,17.0,2355,7637.060546875,26.708984375
115000,1741715637.315813,80.756,72,4.922375000000329,51.0,15.0,1950,55.46875,131.73828125
115000,1741715639.3778727,80.779,75,5.081386000000293,67.0,22.0,2355,5775.87890625,26.806640625
115000,1741715641.440746,79.632,73,5.24570000000017,63.0,20.0,2265,7783.154296875,136.865234375
115000,1741715643.5055025,78.828,76,5.41370800000027,57.99999999999999,18.0,1950,43.798828125,83.10546875
115000,1741715645.5716808,82.769,76,5.579803000000311,69.0,35.0,2175,40.966796875,155.810546875
115000,1741715647.6383553,82.642,76,5.7531570000003285,65.0,33.0,2295,47.8515625,5066.40625
115000,1741715649.6991768,84.296,73,5.918077000000267,85.0,32.0,2355,2600.5859375,25.732421875
115000,1741715651.7646837,82.911,76,6.091514000000188,56.00000000000001,30.0,2145,44.7265625,154.78515625
115000,1741715653.8445177,82.454,75,6.269566000000168,75.0,27.0,2355,1137.3046875,9284.326171875
115000,1741715655.9453135,85.733,72,6.440432000000328,95.0,37.0,1980,55.810546875,155.810546875
115000,1741715658.0415587,82.709,77,6.6218490000003385,69.0,28.999999999999996,2355,37.353515625,9260.888671875
115000,1741715660.120288,84.709,73,6.791068000000223,93.0,36.0,2355,11393.603515625,87.3046875
115000,1741715662.186886,83.03,76,6.95879200000013,62.0,33.0,2190,42.3828125,154.4921875
115000,1741715664.2530239,83.053,74,7.135199000000284,81.0,30.0,2355,912.109375,379.345703125
