PID,PowerCap,Time,Power (W),Temperature (C),Energy (J),GPU Utilization (%),Memory Utilization (%),Frequency,PCIe TX (KB/s),PCIe RX (KB/s)
14.0,100000,1740631335.2305298,79.009,72,0.0816800000000057,100.0,18.0,1425,53.3203125,149.21875
14.0,100000,1740631336.3031414,99.483,73,0.1896460000000388,100.0,18.0,1350,58.154296875,151.123046875
14.0,100000,1740631337.3659065,100.197,73,0.2889760000000478,100.0,17.0,1320,42.333984375,148.92578125
14.0,100000,1740631338.4297657,100.095,73,0.397905000000037,100.0,17.0,1305,43.310546875,147.607421875
14.0,100000,1740631339.4950273,99.786,73,0.5062950000001365,100.0,17.0,1305,45.60546875,148.14453125
14.0,100000,1740631340.5624611,99.758,73,0.6046810000000278,100.0,17.0,1320,43.45703125,148.828125
14.0,100000,1740631341.6279511,99.865,73,0.713809000000083,100.0,20.0,1305,45.60546875,148.291015625
14.0,100000,1740631342.6952996,99.872,73,0.8224549999999908,100.0,19.0,1305,48.681640625,148.14453125
14.0,100000,1740631343.7644577,99.871,74,0.920421000000033,100.0,19.0,1335,40.8203125,154.736328125
14.0,100000,1740631344.8327825,99.881,74,1.0295180000000528,100.0,19.0,1290,54.1015625,148.53515625
14.0,100000,1740631345.8977523,99.883,74,1.1376130000001012,100.0,19.0,1305,37.353515625,148.92578125
14.0,100000,1740631346.9600532,99.932,74,1.2369750000000297,100.0,19.0,1320,37.548828125,148.14453125
14.0,100000,1740631348.0251348,99.918,74,1.3461680000000342,100.0,19.0,1305,44.04296875,148.2421875
14.0,100000,1740631349.0921905,99.904,75,1.454874000000018,100.0,20.0,1305,48.291015625,148.2421875
14.0,100000,1740631350.162032,99.903,75,1.5532240000000002,100.0,19.0,1305,44.921875,149.21875
14.0,100000,1740631351.2248063,99.902,75,1.6623610000001463,100.0,17.0,1320,44.580078125,148.193359375
14.0,100000,1740631352.2871022,99.949,75,1.770823000000064,100.0,17.0,1275,47.998046875,122.8515625
14.0,100000,1740631353.34907,99.745,75,1.8697870000000876,100.0,17.0,1260,43.603515625,148.193359375
14.0,100000,1740631354.413297,99.72,75,1.9777540000000045,100.0,16.0,1290,35.44921875,149.462890625
14.0,100000,1740631355.476106,99.75,75,2.087007999999969,100.0,16.0,1260,35.64453125,149.12109375
14.0,100000,1740631356.540636,99.816,75,2.1866070000000946,100.0,19.0,1290,39.697265625,148.73046875
14.0,100000,1740631357.606298,99.806,75,2.2953939999999875,100.0,19.0,1305,46.09375,148.6328125
14.0,100000,1740631358.67319,99.882,76,2.39369099999999,100.0,19.0,1305,46.923828125,148.2421875
14.0,100000,1740631359.7386467,99.981,76,2.493499000000156,100.0,19.0,1305,45.068359375,148.14453125
14.0,100000,1740631360.8019545,99.956,76,2.6025170000000344,100.0,19.0,1260,53.466796875,127.44140625
14.0,100000,1740631361.8654933,99.949,76,2.7012050000000727,100.0,19.0,1275,43.408203125,148.92578125
14.0,100000,1740631362.9445405,99.923,76,2.809858000000077,100.0,20.0,1275,58.837890625,148.4375
14.0,100000,1740631364.0065856,99.888,76,2.9177240000001348,100.0,19.0,1275,38.427734375,148.73046875
14.0,100000,1740631365.0720437,99.855,76,3.025759999999991,100.0,19.0,1290,39.306640625,148.876953125
14.0,100000,1740631366.1386106,99.887,76,3.1253730000000814,100.0,19.0,1290,44.921875,148.6328125
14.0,100000,1740631367.2033224,99.878,76,3.2338660000000345,100.0,17.0,1320,44.43359375,149.365234375
14.0,100000,1740631368.2729824,99.776,77,3.3321750000000065,100.0,17.0,1275,45.263671875,148.828125
14.0,100000,1740631369.3342054,99.748,77,3.431874999999991,100.0,16.0,1245,38.720703125,158.642578125
14.0,100000,1740631370.399022,99.76,76,3.540707999999995,100.0,19.0,1230,40.4296875,148.33984375
14.0,100000,1740631371.4578571,99.714,77,3.6395179999999527,100.0,19.0,1260,37.841796875,148.681640625
14.0,100000,1740631372.5225303,99.706,77,3.7480480000001535,100.0,18.0,1275,44.62890625,148.193359375
14.0,100000,1740631373.6014123,99.905,77,3.856224999999995,100.0,19.0,1290,59.9609375,149.70703125
14.0,100000,1740631374.6673994,99.906,77,3.9545000000000528,100.0,19.0,1290,38.18359375,149.51171875
14.0,100000,1740631375.734914,99.955,77,4.054178999999976,100.0,19.0,1290,44.04296875,149.169921875
14.0,100000,1740631376.8015983,99.922,77,4.162992000000031,100.0,19.0,1260,46.2890625,149.853515625
14.0,100000,1740631377.8646262,99.938,77,4.261297000000013,100.0,19.0,1275,43.359375,148.14453125
14.0,100000,1740631378.9442737,99.914,77,4.360972000000174,100.0,19.0,1275,58.59375,148.486328125
14.0,100000,1740631380.0205617,99.931,77,4.470339000000195,100.0,19.0,1275,57.32421875,148.92578125
14.0,100000,1740631381.0861893,99.769,77,4.578338000000031,100.0,17.0,1380,39.16015625,149.31640625
14.0,100000,1740631382.1498282,99.94,77,4.677801000000045,100.0,17.0,1320,38.623046875,149.31640625
14.0,100000,1740631383.212279,99.897,77,4.786942000000181,100.0,17.0,1230,42.48046875,147.94921875
14.0,100000,1740631384.270929,99.889,77,4.895432000000028,100.0,17.0,1230,45.5078125,106.396484375
14.0,100000,1740631385.332755,99.624,77,4.994824999999992,100.0,18.0,1215,37.451171875,162.20703125
14.0,100000,1740631386.3965442,99.749,77,5.10334499999999,100.0,18.0,1245,43.115234375,147.607421875
14.0,100000,1740631387.4586706,99.752,77,5.201681000000008,100.0,18.0,1260,38.671875,148.046875
14.0,100000,1740631388.5224645,99.796,77,5.310154000000011,100.0,19.0,1275,35.25390625,148.828125
14.0,100000,1740631389.5850172,99.828,77,5.4190360000000055,100.0,19.0,1290,36.03515625,149.169921875
14.0,100000,1740631390.6488717,99.921,77,5.518257000000176,100.0,19.0,1275,40.966796875,148.92578125
14.0,100000,1740631391.8164237,94.039,73,5.619348000000173,97.0,18.0,2355,0.1953125,1.416015625
17.0,115000,1740633608.6181166,75.114,72,0.0795600000001286,100.0,95.0,1980,46.58203125,137.20703125
17.0,115000,1740633609.6827755,112.927,73,0.1915930000000116,100.0,97.0,2175,41.40625,136.767578125
17.0,115000,1740633610.7544742,113.328,73,0.3138490000001184,100.0,96.0,2160,38.232421875,141.259765625
17.0,115000,1740633611.814685,112.16,73,0.4249600000000555,100.0,97.0,2160,38.96484375,129.736328125
17.0,115000,1740633612.8775656,111.152,73,0.536200000000008,100.0,97.0,2085,36.5234375,139.794921875
17.0,115000,1740633613.9418373,111.256,75,0.656977999999981,100.0,96.0,2250,39.404296875,142.529296875
17.0,115000,1740633615.0228455,111.452,75,0.77737900000011,100.0,97.0,2250,54.58984375,143.1640625
17.0,115000,1740633616.09972,112.06,75,0.8887780000000021,100.0,96.0,2220,53.515625,142.431640625
17.0,115000,1740633617.1799204,111.712,75,1.0096340000000057,100.0,95.0,2190,56.591796875,137.5
17.0,115000,1740633618.2501628,111.452,76,1.1302180000000135,100.0,96.0,2205,37.6953125,139.2578125
17.0,115000,1740633619.3148396,111.002,76,1.2515760000001137,100.0,96.0,1905,35.791015625,152.392578125
17.0,115000,1740633620.377658,111.429,75,1.3621310000000904,100.0,96.0,2100,35.9375,135.595703125
17.0,115000,1740633621.441301,111.802,75,1.4831860000001598,100.0,97.0,2100,37.451171875,137.548828125
17.0,115000,1740633622.5219643,111.616,75,1.6038390000001073,100.0,96.0,2025,52.587890625,137.939453125
17.0,115000,1740633623.5980835,111.757,75,1.7146430000000237,100.0,96.0,2115,56.005859375,136.376953125
17.0,115000,1740633624.6637452,111.756,77,1.835841000000073,100.0,94.0,2145,33.544921875,136.669921875
17.0,115000,1740633625.7423968,111.627,76,1.9581160000000184,100.0,96.0,2070,56.640625,140.72265625
17.0,115000,1740633626.8141909,111.661,76,2.079973999999993,100.0,98.0,2295,40.087890625,156.396484375
17.0,115000,1740633627.8781853,112.067,77,2.1916380000000117,100.0,96.0,2190,38.0859375,145.21484375
17.0,115000,1740633628.9576912,111.863,77,2.3124760000000606,100.0,96.0,2190,56.8359375,145.41015625
17.0,115000,1740633630.0208485,110.931,76,2.4325699999999415,100.0,94.0,1995,32.51953125,138.96484375
17.0,115000,1740633631.1007807,111.656,76,2.5440929999999753,100.0,95.0,2145,55.6640625,137.353515625
17.0,115000,1740633632.1871293,111.237,76,2.6656500000001415,100.0,96.0,2175,54.4921875,135.693359375
17.0,115000,1740633633.2478502,111.769,76,2.7877730000000156,100.0,98.0,2085,34.814453125,137.548828125
17.0,115000,1740633634.312739,111.994,77,2.910174999999981,100.0,95.0,2190,58.056640625,145.1171875
